tenure_months,monthly_charges,support_tickets_3m,contract_type,autopay,usage_gb,churn
6,84.96,2,one-year,1,51.7,1
55,54.95,0,month-to-month,1,104.8,0
47,67.27,1,month-to-month,0,138.1,0
31,11.8,2,month-to-month,1,75.9,0
31,36.87,2,month-to-month,1,82.5,0
61,54.12,0,month-to-month,1,127.5,0
6,38.56,0,month-to-month,0,26.6,0
50,74.29,0,month-to-month,0,158.8,1
14,99.95,2,month-to-month,0,175.5,1
6,36.47,0,two-year,0,5.0,0
37,43.25,1,one-year,0,86.6,0
70,64.71,1,month-to-month,0,64.8,0
52,92.22,1,month-to-month,0,80.7,1
54,35.55,1,month-to-month,1,75.4,0
51,64.98,1,one-year,0,118.4,0
56,96.43,3,month-to-month,1,86.1,0
36,26.96,1,month-to-month,0,58.1,0
9,34.38,0,month-to-month,1,84.0,1
60,51.53,0,month-to-month,0,108.0,0
32,49.59,0,month-to-month,1,48.6,0
36,76.25,4,two-year,1,32.4,0
26,64.83,2,two-year,0,159.7,0
13,24.5,2,month-to-month,1,67.5,1
66,70.31,5,month-to-month,0,85.2,0
56,48.45,1,month-to-month,1,76.1,0
46,85.49,1,month-to-month,0,109.2,0
28,47.45,1,month-to-month,0,152.0,0
59,47.27,1,month-to-month,0,110.3,1
39,70.82,1,one-year,1,36.9,0
31,75.26,0,two-year,0,41.6,0
32,68.96,2,one-year,1,76.0,0
16,26.29,2,one-year,0,80.6,1
6,70.76,1,month-to-month,0,29.7,1
39,39.31,1,month-to-month,0,118.7,0
63,64.71,0,month-to-month,1,52.0,0
4,31.53,0,month-to-month,1,142.3,0
61,68.93,1,month-to-month,0,153.7,0
59,43.87,1,one-year,1,81.3,0
19,34.35,1,month-to-month,0,105.4,0
45,74.28,1,month-to-month,0,46.9,1
11,64.83,2,month-to-month,0,111.8,0
54,47.72,0,two-year,0,72.6,0
50,89.02,2,month-to-month,0,51.9,0
25,51.19,0,month-to-month,1,79.9,0
4,60.64,2,month-to-month,0,73.7,0
69,65.38,2,one-year,1,78.6,0
32,47.61,1,two-year,1,123.2,1
64,69.42,0,month-to-month,1,62.5,0
48,49.33,0,two-year,1,150.7,0
56,51.77,1,month-to-month,1,43.6,0
54,87.25,0,one-year,0,146.5,0
