price,promo,season,competitor_price,ad_spend,demand
29.59,1,mid,31.15,13310,2207
35.58,0,low,42.0,9921,1241
16.38,0,peak,17.62,11351,2814
33.22,0,low,38.07,7200,1195
19.05,1,peak,20.61,10111,2674
21.61,0,low,24.21,11567,1931
28.37,0,peak,33.43,5282,1995
32.4,0,low,31.47,7592,1280
18.08,0,low,17.47,2647,1275
21.92,1,mid,23.76,7554,2041
25.59,0,low,26.35,5960,1382
23.88,0,peak,25.02,7456,2432
30.12,1,mid,30.43,15309,2244
45.62,0,mid,44.81,12295,1426
27.52,0,low,31.91,4401,1316
20.59,0,mid,19.39,9389,2201
17.22,0,low,18.68,9997,1967
23.05,0,peak,24.71,7155,2323
19.36,0,mid,17.49,8446,2379
27.81,0,mid,26.79,8690,1793
27.71,0,peak,27.07,4633,2032
22.22,0,mid,23.89,5422,1676
36.91,1,mid,36.93,8431,1629
20.59,0,low,21.06,8249,1675
24.28,0,mid,22.18,6229,1819
28.83,0,low,35.07,6014,1145
30.35,0,low,31.44,7776,1370
32.67,1,peak,34.95,10215,2042
27.57,0,low,27.21,7809,1222
31.31,0,mid,30.61,12057,2007
21.01,0,low,24.85,6260,1290
30.51,1,mid,26.75,8483,1947
30.43,0,peak,32.02,7114,2267
34.08,1,low,31.8,9470,1399
14.99,0,mid,14.95,6046,2305
19.56,0,mid,19.15,12818,2400
29.94,1,peak,28.48,3773,2168
9.09,0,low,9.39,12289,2338
27.95,0,peak,23.05,8225,2079
31.36,0,mid,31.51,9381,1763
21.54,0,mid,22.03,11336,2431
22.42,0,low,20.65,10144,1903
18.56,0,low,21.36,6175,1583
21.87,0,mid,21.49,9500,2162
22.04,0,low,22.29,12669,2080
20.9,0,mid,20.54,5782,1922
20.57,1,mid,21.06,13296,2711
23.37,0,mid,26.52,8964,1905
23.3,0,low,28.61,6917,1594
36.24,0,low,39.49,5767,1084
22.63,0,mid,25.28,7442,1827
27.06,0,mid,31.59,3112,1408
21.54,1,peak,22.61,6962,2533
21.46,1,mid,24.8,7343,1968
14.77,0,mid,16.15,5314,2125
15.57,1,low,16.22,9870,1836
17.76,1,peak,18.79,7453,2652
26.1,1,low,23.08,6411,1564
31.46,1,low,33.14,7187,1287
14.28,0,low,12.94,8888,2083
21.71,0,low,19.53,8183,1706
16.8,0,peak,17.56,6248,2451
23.41,0,low,22.03,8314,1658
31.45,1,low,32.38,7873,1295
22.32,0,low,23.24,5151,1751
24.71,0,peak,25.82,7279,2409
33.73,1,peak,32.3,9448,2067
27.75,0,peak,30.57,9430,2532
20.44,1,peak,20.91,7425,2437
25.95,0,peak,27.65,9692,2393
20.03,0,mid,18.72,5550,2076
27.52,0,low,27.96,5628,1109
28.09,0,low,31.4,7372,1344
16.8,0,low,18.6,11744,1992
26.05,0,mid,25.17,8408,1945
24.29,0,low,23.96,7312,1619
28.27,0,low,26.88,11860,1721
29.99,1,mid,29.31,7283,1714
27.86,0,low,25.58,13587,1993
23.18,0,low,23.62,6722,1599
30.6,0,low,33.07,5471,1193
19.76,1,mid,19.11,7584,2122
17.08,1,low,17.47,7377,2055
5.83,1,low,5.9,5981,2172
24.58,1,low,27.39,14505,1890
20.07,0,peak,19.69,8797,2354
27.39,0,low,26.95,9161,1408
13.17,0,low,12.68,6845,1884
21.12,1,peak,19.83,6556,2435
27.82,0,peak,29.83,10564,2303
18.82,0,low,19.18,3810,1585
27.46,1,low,28.4,5143,1259
21.66,1,low,24.52,7382,1516
24.8,1,mid,28.19,11378,2148
28.57,0,low,25.67,7064,1626
30.72,0,peak,33.23,9040,2034
25.55,0,peak,26.78,8069,2344
20.12,0,mid,19.98,11241,2055
22.25,0,low,23.5,4038,1242
28.82,0,peak,25.71,9840,2323
18.87,1,mid,21.65,7503,2198
23.93,0,peak,25.64,10312,2404
22.68,0,low,21.8,5952,1463
24.38,1,mid,23.97,8061,1971
18.94,0,peak,16.93,7744,2596
13.89,0,peak,13.96,5494,2498
28.12,0,mid,27.88,4799,1857
30.78,0,mid,28.44,6549,1640
14.25,1,mid,15.56,8325,2316
27.21,0,mid,30.81,6108,1604
31.5,0,peak,32.38,7175,2113
28.58,1,mid,28.73,3286,1670
22.5,0,low,23.96,7073,1787
19.34,1,low,19.89,10559,1852
25.49,0,mid,24.04,9763,2165
26.49,1,peak,25.9,7783,2386
25.57,0,low,25.74,8609,1715
23.92,0,low,25.11,5929,1464
18.5,1,peak,19.07,12061,2810
27.54,1,mid,28.83,13169,2241
27.83,0,low,25.27,8412,1677
26.2,0,low,28.39,14477,2076
25.67,0,mid,26.44,6300,1798
35.08,1,low,43.29,4872,886
21.25,1,mid,21.23,6226,1663
32.69,0,mid,34.52,7451,1383
20.6,0,mid,25.88,13780,2263
31.65,0,mid,33.09,7297,1479
32.4,1,low,33.2,5851,1297
23.24,0,low,22.1,5754,1377
34.97,0,low,40.29,10850,1241
27.81,1,low,26.07,10493,1634
19.74,0,mid,21.0,6786,2146
22.76,0,low,22.58,3311,1313
31.8,0,mid,32.27,5179,1553
30.54,0,low,27.98,12303,1724
18.65,1,low,21.22,9722,1986
24.16,0,low,24.35,8164,1722
26.22,0,mid,24.46,12672,2184
21.95,0,mid,24.81,12896,2055
39.15,1,peak,38.74,7910,1853
26.4,0,low,27.9,7956,1501
24.63,0,mid,27.03,6545,1827
32.15,0,peak,34.33,7288,1930
22.81,0,low,19.48,4284,1642
31.04,1,low,33.7,4274,1116
14.99,1,low,15.32,3693,1578
22.28,1,low,22.36,10711,1804
31.29,0,peak,31.96,4096,2119
34.42,0,low,31.02,12875,1695
20.36,1,mid,21.28,6174,2093
19.66,0,peak,18.1,12343,2709
28.4,1,low,28.61,7087,1342
21.26,0,mid,22.17,4085,1711
23.39,0,low,26.1,11209,1802
30.26,0,mid,29.18,11505,1942
21.74,0,low,24.91,5735,1441
13.21,0,low,14.6,7171,1876
17.19,0,low,17.12,5736,1629
25.06,0,mid,23.59,7699,1903
13.82,0,mid,12.64,8270,2480
23.22,1,mid,24.42,7122,1737
16.65,0,low,16.16,3453,1656
