amount,international,new_device,hour,velocity_1h,account_age_days,fraud
15.03,0,1,3,0,59,0
10.25,0,1,15,1,2259,0
24.59,0,0,4,2,1127,0
21.4,0,1,10,1,816,0
17.87,0,0,19,2,781,0
11.8,0,0,8,2,906,0
38.99,0,0,22,1,1164,0
41.13,0,0,1,0,2259,0
12.86,0,0,2,0,597,0
14.17,1,0,4,0,1769,0
29.83,0,1,5,0,3362,0
13.8,0,0,10,0,3520,0
30.72,0,1,21,1,3027,0
75.76,0,1,5,1,965,0
26.0,0,0,8,0,534,0
11.59,0,0,1,1,3204,0
35.68,0,0,17,0,1474,0
23.94,0,0,13,1,1680,0
24.41,0,0,1,0,1555,0
37.82,0,0,11,1,491,0
43.98,1,0,5,1,2633,0
27.79,0,0,10,0,872,0
25.99,0,0,6,0,851,0
114.95,0,0,18,0,2758,0
62.83,0,0,1,2,2601,0
48.59,0,1,14,0,3017,0
29.72,0,0,19,2,2577,0
13.41,0,0,0,0,144,0
59.69,0,0,21,0,1522,0
29.99,0,0,18,0,1496,0
18.1,0,0,6,0,1173,0
22.87,0,0,11,0,1803,0
13.79,0,0,16,1,1814,0
56.83,0,0,12,0,2244,0
43.73,1,0,18,2,3503,0
30.79,0,1,21,0,2374,0
26.31,0,0,8,1,3404,0
16.84,0,0,2,2,3031,0
6.1,1,0,10,2,2679,0
10.08,0,0,14,0,997,0
16.12,0,0,18,0,2109,0
14.51,0,0,6,0,408,0
33.2,0,0,22,1,3372,0
47.85,0,1,0,1,680,0
24.78,1,0,13,1,870,0
72.69,1,0,10,1,3419,0
15.67,0,0,16,1,444,0
24.66,0,0,6,0,1995,0
26.16,0,0,22,4,2097,0
58.24,0,0,0,4,799,0
29.2,0,1,19,1,1422,0
29.77,1,1,11,0,2868,0
8.51,0,0,12,1,2596,0
14.44,0,0,7,1,2142,0
58.39,0,0,9,0,1985,0
6.34,0,0,10,0,1340,0
69.41,0,1,7,0,2276,0
38.47,0,0,0,1,66,0
16.07,0,0,9,0,256,0
15.14,0,0,9,0,2857,0
102.22,0,0,17,0,636,0
72.82,0,0,11,0,2618,0
24.94,1,0,13,0,59,0
29.79,0,0,11,3,956,0
17.25,0,0,10,0,3424,0
29.8,0,0,17,0,969,0
16.92,1,0,16,1,3586,0
25.66,0,1,23,0,990,0
96.28,0,0,11,1,2321,0
25.36,1,0,0,1,2447,0
13.02,1,0,14,1,2313,1
10.42,0,0,9,0,1073,0
29.64,0,0,2,1,2769,0
15.92,0,0,20,0,1132,0
32.22,0,0,15,0,2972,0
8.73,0,0,15,0,1374,0
43.96,1,0,15,0,3054,0
12.91,0,0,23,2,3577,0
28.01,0,0,16,2,2755,0
21.4,0,0,17,1,1679,0
90.28,0,1,18,1,1543,0
30.57,0,1,17,0,1377,0
105.83,0,0,16,2,1281,0
40.15,1,0,1,2,1715,0
73.54,0,0,9,0,1773,0
23.43,0,0,6,0,2625,0
34.53,0,0,21,1,3247,0
63.63,1,1,14,0,3225,0
51.08,0,0,12,0,2205,0
39.32,0,0,12,0,3616,0
21.55,0,1,16,1,3261,0
24.26,0,0,18,0,1774,0
60.12,0,0,4,0,1504,0
69.56,0,0,23,0,1679,0
17.9,0,0,18,0,85,0
16.11,1,0,4,0,1205,0
14.4,1,0,14,1,1397,0
48.46,0,0,10,0,2843,0
14.15,1,0,9,1,958,0
48.05,0,1,20,2,2392,0
39.73,0,0,6,0,1175,0
18.51,1,0,20,0,1326,0
81.02,0,0,15,0,251,0
9.74,0,0,19,2,1892,0
86.63,0,1,17,2,354,1
33.89,0,1,14,1,751,0
6.35,0,1,4,0,1831,0
82.63,1,1,23,2,2533,0
53.55,0,0,15,0,1475,0
20.09,0,0,8,1,920,0
13.8,0,0,6,1,3274,0
9.04,0,1,2,0,1275,0
147.06,0,0,7,0,1171,0
14.21,0,0,3,2,248,0
11.2,0,1,21,0,1284,0
32.71,0,0,10,0,802,0
8.61,0,1,15,1,1291,0
13.64,0,1,19,1,711,0
54.41,0,1,23,0,717,0
37.52,1,0,10,2,2683,0
20.69,0,0,1,0,1731,0
27.46,0,1,14,0,2534,0
19.89,0,0,22,0,2105,0
25.96,1,0,8,0,1964,0
15.91,1,1,2,1,1702,0
18.06,0,1,17,0,1412,0
17.68,0,1,14,1,956,0
16.31,0,0,3,0,3246,0
56.3,1,0,0,1,1493,0
46.48,0,1,12,1,3226,0
14.12,0,0,3,0,2803,0
11.75,1,0,4,0,2200,0
24.29,0,0,7,1,3076,0
122.57,0,1,11,1,2401,0
13.21,0,0,19,1,2977,0
24.22,1,0,10,0,2907,0
28.85,0,0,20,1,2357,0
25.13,1,0,14,0,2638,0
19.67,0,0,9,1,2984,0
60.86,0,0,12,1,820,0
37.27,1,0,3,0,3199,0
49.01,0,0,23,0,1837,0
40.96,0,0,7,0,446,0
50.69,0,0,21,0,554,0
82.19,0,1,15,0,2738,0
68.84,0,0,7,0,2954,0
138.02,0,0,11,1,2387,0
63.57,1,0,2,0,2385,0
16.97,1,1,14,0,3159,0
49.06,1,1,1,0,3573,0
44.58,0,0,15,1,3036,0
103.98,1,0,4,0,498,0
13.78,1,0,3,1,2928,0
40.07,0,1,5,0,1862,0
16.83,1,1,2,1,2914,0
38.81,0,0,21,3,2642,0
23.33,1,1,22,0,2474,0
37.93,0,0,22,0,3165,0
10.1,0,0,17,2,551,0
47.24,0,0,5,1,3114,0
31.32,0,0,18,0,1268,0
30.16,0,0,18,1,737,0
106.18,0,0,5,0,2628,0
20.74,1,0,20,1,3585,0
34.45,0,0,23,0,320,0
29.08,0,1,9,2,3581,0
31.14,0,0,14,2,1250,0
128.41,0,1,20,2,3537,0
28.35,0,0,6,0,179,0
18.23,0,0,23,3,2239,0
100.45,0,1,7,1,1950,0
21.86,0,1,23,4,3036,0
8.81,1,1,5,2,1722,0
16.14,0,0,17,0,277,0
11.33,0,0,12,1,671,0
7.69,0,0,8,0,932,0
21.03,1,1,10,1,3180,0
25.81,0,1,5,0,335,0
61.95,1,0,16,1,3062,0
42.12,0,0,23,1,1845,0
40.8,1,0,14,1,2063,0
14.51,0,1,6,3,3521,0
50.37,0,0,16,0,2799,0
71.8,0,1,10,0,2369,0
35.74,0,0,22,1,3008,0
36.44,1,1,6,1,1683,0
11.19,0,1,12,1,3398,0
56.72,0,0,11,1,2893,0
94.31,0,1,21,0,3566,0
33.99,0,0,2,1,2008,0
17.88,1,0,14,2,2345,0
24.21,0,1,19,0,1670,0
20.2,0,0,8,2,3376,0
21.07,0,0,12,0,2297,0
42.67,1,0,7,0,578,0
32.97,1,1,10,1,1868,0
54.75,0,0,22,2,486,0
35.15,0,0,8,1,2341,0
14.81,1,0,4,1,2552,0
19.1,1,0,13,1,2929,0
18.28,0,0,11,0,559,0
23.79,0,0,18,1,1687,0
95.23,0,1,0,1,1293,0
106.53,0,0,21,0,1514,0
48.7,0,1,16,2,3429,0
29.46,1,1,20,0,2039,0
10.45,0,0,9,0,1618,0
31.63,1,1,10,0,3302,0
15.6,0,0,8,1,1941,0
84.89,0,0,20,0,1543,0
8.81,0,0,1,0,1971,0
35.49,0,1,12,2,3094,0
14.7,1,0,6,1,1652,0
